AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27361.0,ISTMINA,N,27361041.0,JUANA MARCELA,S,N,N,N,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27025.0,ALTO BAUDÓ,S,27025000.0,PIE DE PATO,N,S,S,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27025.0,ALTO BAUDÓ,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27491.0,NÓVITA,N,27491010.0,EL TAMBITO,N,N,N,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27800.0,UNGUÍA,N,27800003.0,SANTA MARÍA DEL DARIÉN,S,S,S,S,N,N
2021,3,AVANTEL S.A.S,27,CHOCÓ,27615.0,RIOSUCIO,S,27615000.0,RIOSUCIO,S,S,S,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,S,S,S,S,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27075.0,BAHÍA SOLANO,S,27075000.0,CIUDAD MÚTIS,S,S,S,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27745.0,SIPÍ,N,0.0,CHARCO LARGO,N,N,N,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,0.0,VENADO,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27745.0,SIPÍ,N,0.0,TAPARAL,N,N,N,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27135.0,EL CANTÓN DEL SAN PABLO,N,27135005.0,GUAPANDÓ,N,N,N,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27800.0,UNGUÍA,N,27800003.0,SANTA MARÍA DEL DARIÉN,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27495.0,NUQUÍ,N,27495004.0,PANGUÍ,N,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27075.0,BAHÍA SOLANO,N,0.0,CUPICA,S,S,S,N,S,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27787.0,TADÓ,N,27787005.0,GUARATO,S,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27430.0,MEDIO BAUDÓ,N,27430006.0,CIRUNDÓ LA BANCA,N,N,N,N,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27413.0,LLORÓ,S,27413000.0,LLORÓ,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27413.0,LLORÓ,N,0.0,OGODÓ,N,N,N,N,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27450.0,MEDIO SAN JUAN,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27430.0,MEDIO BAUDÓ,N,27430003.0,BOCA DE BAUDOCITO,S,N,N,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27205.0,CONDOTO,S,27205000.0,CONDOTO,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27787.0,TADÓ,N,27787004.0,TAPÓN,N,N,N,N,N,N
2022,2,AVANTEL S.A.S,27,CHOCÓ,27660.0,SAN JOSÉ DEL PALMAR,S,27660000.0,SAN JOSÉ DEL PALMAR,S,S,S,N,N,N
2023,1,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27491.0,NÓVITA,S,27491000.0,NÓVITA,N,S,S,S,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27430.0,MEDIO BAUDÓ,S,27430000.0,PUERTO MELUK,S,S,S,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,0.0,PAPAYO,N,N,N,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27430.0,MEDIO BAUDÓ,N,27430024.0,BOCA DE PEPE,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27001.0,QUIBDÓ,S,27001000.0,SAN FRANCISCO DE QUIBDO,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27075.0,BAHÍA SOLANO,N,27075009.0,PLAYITA POTE,N,N,N,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27006.0,ACANDÍ,N,27006007.0,SAN FRANCISCO,S,N,N,N,N,N
2023,2,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27160.0,CÉRTEGUI,S,27160000.0,CÉRTEGUI,N,S,S,N,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27050.0,ATRATO,S,27050000.0,YUTO,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27073.0,BAGADÓ,S,27073000.0,BAGADÓ,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27205.0,CONDOTO,S,27205000.0,CONDOTO,S,S,S,S,N,N
2022,3,AVANTEL S.A.S,27,CHOCÓ,27025.0,ALTO BAUDÓ,S,27025000.0,PIE DE PATO,S,S,S,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27745.0,SIPÍ,N,27745015.0,TEATINO,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27800.0,UNGUÍA,N,27800004.0,TANELA,N,N,N,N,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,N,27810001.0,EL PLAN DE RASPADURA,S,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27660.0,SAN JOSÉ DEL PALMAR,S,27660000.0,SAN JOSÉ DEL PALMAR,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27413.0,LLORÓ,S,27413000.0,LLORÓ,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27615.0,RIOSUCIO,N,27615039.0,PLAYA ROJA,N,N,N,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27075.0,BAHÍA SOLANO,N,27075003.0,HUACA,N,N,N,S,N,N
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,27,CHOCÓ,27073.0,BAGADÓ,S,27073000.0,BAGADÓ,N,N,N,N,N,N
2022,1,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27077.0,BAJO BAUDÓ,S,27077000.0,PIZARRO,N,S,S,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27001.0,QUIBDÓ,N,27001011.0,CALAHORRA,N,N,N,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27073.0,BAGADÓ,S,27073000.0,BAGADÓ,S,S,S,S,N,N
