AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73268.0,ESPINAL,N,73268001.0,CHICORAL,S,S,S,S,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25743.0,SILVANIA,N,25743002.0,AZAFRANAL,S,S,N,S,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,23,CÓRDOBA,23162.0,CERETÉ,S,23162000.0,CERETÉ,S,S,S,S,N,N
2022,1,AVANTEL S.A.S,25,CUNDINAMARCA,25841.0,UBAQUE,S,25841000.0,UBAQUE,S,S,S,N,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25377.0,LA CALERA,N,25377010.0,ALTAMAR,S,S,N,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17050.0,ARANZAZU,N,17050012.0,LA HONDA,S,S,S,S,N,N
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20,CESAR,20517.0,PAILITAS,N,20517006.0,EL BURRO,S,N,N,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,73,TOLIMA,73148.0,CARMEN DE APICALÁ,S,73148000.0,CARMEN DE APICALÁ,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25899.0,ZIPAQUIRÁ,N,25899006.0,PASOANCHO,S,S,S,S,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,17,CALDAS,17541.0,PENSILVANIA,S,17541000.0,PENSILVANIA,N,N,N,N,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47660.0,SABANAS DE SAN ANGEL,S,47660000.0,SAN ÁNGEL,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76834.0,TULUÁ,S,76834001.0,TULUÁ,S,S,S,N,S,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23182.0,CHINÚ,N,23182043.0,BAJO DE PIEDRA,S,N,N,N,N,N
2022,2,AVANTEL S.A.S,41,HUILA,41668.0,SAN AGUSTÍN,S,41668000.0,SAN AGUSTÍN,S,S,S,S,N,N
2021,4,AVANTEL S.A.S,52,NARIÑO,52720.0,SAPUYES,S,52720000.0,SAPUYES,S,S,S,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,63,QUINDÍO,63190.0,CIRCASIA,N,63190020.0,QUINTAS DEL BOSQUE,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,50,META,50226.0,CUMARAL,N,50226004.0,SAN NICOLÁS,N,N,N,S,N,N
2023,1,PARTNERS TELECOM COLOMBIA SAS,50,META,50287.0,FUENTE DE ORO,S,50287000.0,FUENTE DE ORO,N,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17001.0,MANIZALES,N,17001022.0,ALTO BONITO,S,S,S,S,N,N
