AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2020,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5234.0,DABEIBA,N,5234019.0,LA BALSITA,N,N,N,N,N,N
2017,1,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13810.0,TIQUISIO,S,13810001.0,TIQUISIO,S,S,S,N,N,N
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13001.0,CARTAGENA,N,13001004.0,BAYUNCA,S,S,N,N,N,N
2019,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70702.0,SAN JUAN DE BETULIA,N,70702006.0,LAS CRUCES,S,N,N,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,86,PUTUMAYO,86573.0,PUERTO LEGUÍZAMO,N,86573005.0,EL MECAYA,N,N,N,N,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,15226.0,CUÍTIVA,S,15226000.0,CUÍTIVA,N,N,N,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,8,ATLÁNTICO,8421.0,LURUACO,N,8421004.0,SAN JUAN DE TOCAGUA,S,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76130.0,CANDELARIA,N,76130039.0,SAN ANDRESITO,N,N,N,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5154.0,CAUCASIA,N,5154022.0,LA ILUSIÓN,N,N,N,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,25,CUNDINAMARCA,25594.0,QUETAME,S,25594000.0,QUETAME,N,S,S,S,N,N
